company,avg_salary($),salary_type
A.B._Data%2C_Ltd.,N/A,year
A-Tech,20,hour
A_Wireless,N/A,year
A_%26_A_Telecom,83,year
A_%26_T_Systems,N/A,year
A10_Networks,118,year
A2_Hosting,N/A,year
A3,N/A,year
A3_Communications,N/A,year
AAA_Alarms,N/A,year
AASKI_Technology,95,year
ABC_Software,N/A,year
ABCD_Inc.,88,year
ABS_Technology_Architects,N/A,year
AC_Nielsen_Corp,91,year
ACET,81,year
ACGI_Software,N/A,year
ACI_Worldwide%2C_Inc.,98,year
ACN,93,year
ACS_Technologies,61,year
ADA_S._Mckinley,N/A,year
ADESA_Corporation,76,year
ADNET_Systems%2C_Inc.,N/A,hour
ADP_Canada_Co.,N/A,year
ADP_Dealer_Services,N/A,year
ADT_Security_Services%2C_Inc.,74,year
AER_Worldwide,N/A,hour
AFL_Network_Services,N/A,year
AFL_Telecommunications_LLC,81,year
AFS_Technologies,N/A,year
AGDATA,70,year
AIDC,N/A,year
AIS,68,year
ALK_Technologies,61,year
ALLO_Communications,18,hour
AM_Broadband,N/A,year
AMAX,74,year
AMTdirect,78,year
AOS,N/A,hour
API_Healthcare,N/A,year
APTTUS,105,year
ARI_Network_Services,45,year
ARMA_International,N/A,year
ARRIS_Group%2C_Inc.,93,year
AS_Logistics,N/A,year
ASI_System_Integration,N/A,year
ASM_Research%2C_Inc.,73,year
ASRC,78,year
AT_Conference,N/A,hour
AT_Systems%2C_Inc.,N/A,year
AT%26T_Inc.,96,year
AT%26T_Mobility_LLC,77,year
ATEB,N/A,year
ATMC,N/A,year
ATS_Services,21,hour
ATSI_Group,N/A,year
AVEVA_Solutions_Ltd,90,year
Aac%2C_Inc.,N/A,year
Abacus_Corporation,N/A,year
Abacus_Solutions_Group,N/A,year
Abacus_Technology_Corporation,N/A,year
Abbtech,N/A,hour
Abc_Financial,67,year
Abila%2C_Inc.,63,year
About.Com,N/A,year
Absolute_Software_Corporation,N/A,year
Accela%2C_Inc.,101,year
Accelera_Solutions,N/A,year
Accenture,97,year
Accenture_Technology_Solutions,106,year
Access_Data_Corp,N/A,year
Access_One_Inc.,N/A,year
Access_Systems%2C_Inc.,N/A,year
Acclaris,N/A,year
Accretive_Health_Inc,73,year
Accruent,72,year
Accudata,92,year
Accuity,89,year
Achieve_Internet,68,year
Achieve3000,73,year
Acom_Solutions_Inc,N/A,year
Acquia,96,year
Acronis,67,year
Acs_-_Inc,76,year
Act-On_Software%2C_Inc.,N/A,year
Actavo,N/A,hour
ActioNet%2C_Inc.,89,year
Actiontec_Electronics,N/A,year
Active.com,N/A,year
ActiveState,N/A,year
Activision%2C_Inc.,105,year
Acuity_Consulting%2C_Inc.,N/A,year
Acumen_LLC,67,year
Acumen_Solutions,91,year
Acxiom_Corporation,83,year
Acxiom_Digital,N/A,year
Ad_Astra_Information_Systems,71,year
AdRoll,108,year
Ada_County,20,hour
Adacel_Inc.,N/A,year
Adage_Technologies,85,year
Adams_Media,N/A,year
Adaptive_Planning,90,year
Addeco,N/A,hour
Adecco,17,hour
Adecco_Technical,N/A,hour
Adecco_Usa,64,year
Aderant,74,year
Aditi_Technologies_Ltd,N/A,year
Aditya_Birla_Minacs,N/A,hour
Admarketplace,N/A,year
Administrative_Office_of_Courts,63,year
