Job,salary($),salary_type,Base Salary,Bonus,Total Pay,Profit Sharing,Commission,Hourly Rate
ABAP Developer,90000.0,year,$68k - $120k,$2k - $20k,$67k - $132k,,,
ASIC Design Engineer,108330.0,year,$83k - $148k,$1k - $15k,$85k - $164k,$2k - $15k,,
ASIC Engineer,116546.0,year,$59k - $165k,$503 - $22k,$59k - $179k,,,
ASP.NET Developer,71152.0,year,$50k - $94k,$993 - $10k,$47k - $96k,$2k - $5k,,
Actuarial Associate,82113.0,year,$65k - $101k,$2k - $13k,$67k - $109k,$2k - $7k,,
Actuarial Consultant,99928.0,year,$66k - $138k,$2k - $20k,$65k - $155k,$0 - $6k,,
Actuary,101177.0,year,$60k - $153k,$2k - $30k,$60k - $173k,$818 - $15k,,
"Administrator, Lotus Notes",76000.0,year,$71k - $119k,,$73k - $145k,,,
"Alliance Manager, Enterprise Software",98296.0,year,$77k - $153k,$2k - $123k,$82k - $177k,,,
Analyst Methods & Procedures,70489.0,year,$49k - $103k,$3k - $17k,$46k - $109k,,,
Analytical Strategist,73983.0,year,$52k - $125k,$2k - $33k,$53k - $135k,,,
Analytics Manager,103512.0,year,$73k - $135k,$4k - $20k,$75k - $146k,$2k - $19k,$0 - $12k,
Android Software Developer,96978.0,year,$61k - $142k,$1k - $17k,$61k - $150k,$1k - $23k,,
Android Software Engineer,100916.0,year,$78k - $157k,$1k - $16k,$79k - $162k,$2k - $17k,,
Application Architect,121239.0,year,$95k - $153k,$2k - $21k,$97k - $166k,$105 - $10k,,
Application Developer,75122.0,year,$54k - $106k,$988 - $10k,$53k - $112k,$774 - $8k,,
Application Integration Engineer,87429.0,year,$47k - $168k,$4k - $30k,$48k - $178k,,,
Application Support Analyst,66769.0,year,$49k - $95k,$710 - $8k,$45k - $94k,$516 - $10k,,
"Applications Analyst, Software",74953.0,year,$55k - $98k,$980 - $8k,$54k - $99k,$532 - $15k,,
"Applications Development Director, IT / Information Systems",142749.0,year,$92k - $187k,$5k - $39k,$92k - $224k,$6k - $29k,,
Applications Development Manager,124464.0,year,$92k - $153k,$3k - $23k,$93k - $166k,$502 - $17k,,
"Applications Development Manager, Computer Software",129477.0,year,$87k - $165k,$4k - $26k,$88k - $176k,$3k - $24k,,
Applications Engineer,78321.0,year,$59k - $113k,$1k - $14k,$60k - $119k,$978 - $16k,$3k - $27k,
"Applications Engineer, Electrical",71842.0,year,$56k - $108k,$1k - $10k,$39k - $112k,,,
Applications Engineering Manager,106227.0,year,$82k - $137k,$3k - $24k,$84k - $149k,$2k - $23k,$0 - $15k,
Applications Programmer,69360.0,year,$46k - $112k,$592 - $17k,$43k - $123k,$1 - $10k,,
Applications Support Lead,84627.0,year,$57k - $130k,$1k - $15k,$57k - $135k,$0 - $4k,,
Applications Systems Analyst,75407.0,year,$54k - $101k,$504 - $9k,$51k - $102k,$9 - $4k,,
Applications Systems Analyst%2FProgrammer,75921.0,year,$54k - $115k,$508 - $15k,$54k - $121k,$1k - $8k,,
Applications Systems and Program Manager,109202.0,year,$76k - $153k,$3k - $20k,$87k - $165k,$5k - $25k,,
Applications & Programming Supervisor,101000.0,year,$73k - $113k,$0 - $5k,$60k - $128k,,,
Applications and Support Engineer,76602.0,year,$53k - $114k,$984 - $15k,$51k - $118k,$2k - $15k,,
"Architect (Computer Software, Hardware)",122450.0,year,$79k - $169k,$5k - $33k,$74k - $188k,$5k - $11k,$0 - $40k,
Artificial Intelligence Software Engineer,86475.0,year,$70k - $149k,$10k - $11k,$70k - $153k,$0 - $3k,,
Associate Data Scientist,80651.0,year,$62k - $104k,$2k - $11k,$60k - $110k,$1k - $11k,,
Associate Level and Layout Designer,70000.0,year,$40k - $78k,$491 - $5k,$26k - $87k,,,
"Associate Producer, Computer Game Applications",59670.0,year,$42k - $81k,$3k - $10k,$41k - $82k,,,
Associate Software Engineer,75993.0,year,$59k - $104k,$2k - $11k,$59k - $109k,$1k - $9k,,
Associate Video Game Producer,52402.0,year,$40k - $71k,$0 - $2k,$39k - $70k,,,
Biostatistician,81510.0,year,$61k - $123k,$1k - $13k,$61k - $129k,$574 - $78k,,
Biostatistics Director,178721.0,year,$132k - $212k,$12k - $34k,$134k - $232k,$0 - $13k,,
Build Engineer,81657.0,year,$48k - $145k,$5k - $10k,$46k - $146k,,,
Build and Release Engineer,99121.0,year,$59k - $150k,$3k - $12k,$59k - $157k,,,
Build and Release Manager,102044.0,year,$58k - $156k,$4k - $24k,$54k - $160k,,,
"Business Analysis Manager, IT",114389.0,year,$82k - $152k,$6k - $23k,$86k - $159k,$0 - $5k,,
Business Analyst (Computer Software%2FHardware%2FSystems),73761.0,year,$53k - $106k,$1k - $13k,$52k - $112k,$227 - $9k,,
"Business Analyst, Data Warehouse",78104.0,year,$60k - $110k,$1k - $10k,$53k - $112k,$0 - $2k,,
"Business Analyst, Database",70489.0,year,$51k - $92k,$981 - $9k,$48k - $94k,$2k - $16k,,
"Business Analyst, IT",73327.0,year,$54k - $103k,$1k - $11k,$53k - $109k,$572 - $8k,$0 - $3k,
Business Analyst%2FProgrammer,71136.0,year,$49k - $96k,$509 - $15k,$47k - $100k,$13 - $12k,,
"Business Analyst, Software",73463.0,year,$54k - $99k,$2k - $10k,$54k - $104k,$518 - $6k,,
Business Analytics Director,117496.0,year,$78k - $152k,$5k - $31k,$78k - $177k,,,
Business Development Analyst,64794.0,year,$48k - $87k,$1k - $11k,$48k - $93k,$2k - $29k,$6k - $16k,
Business Development Specialist,58287.0,year,$41k - $86k,$1k - $19k,$40k - $90k,$960 - $8k,$2k - $29k,
Business Insight and Analytics Manager,105331.0,year,$72k - $140k,$3k - $21k,$73k - $153k,$2k - $17k,,
Business Integration Analyst,82504.0,year,$58k - $112k,$1k - $12k,$64k - $115k,,,
Business Intelligence Administrator,86316.0,year,$48k - $102k,$1k - $15k,$49k - $111k,,,
Business Intelligence (BI) Analyst,72948.0,year,$54k - $99k,$1k - $11k,$54k - $105k,$956 - $10k,,
Business Intelligence (BI) Architect,114780.0,year,$84k - $150k,$3k - $23k,$88k - $167k,$3k - $16k,,
Business Intelligence (BI) Developer,85403.0,year,$61k - $118k,$1k - $14k,$61k - $127k,$921 - $11k,,
Business Intelligence Director,128168.0,year,$89k - $166k,$4k - $28k,$94k - $185k,$824 - $35k,,
Business Intelligence Specialist,67939.0,year,$49k - $105k,$970 - $14k,$46k - $107k,$1k - $10k,,
Business Systems Administrator,72152.0,year,$49k - $125k,$964 - $14k,$41k - $112k,$0 - $7k,,
Business Systems Analyst,72645.0,year,$55k - $102k,$1k - $10k,$54k - $107k,$569 - $10k,,
Business Technology Analyst,75955.0,year,$57k - $91k,$2k - $12k,$56k - $97k,$750 - $5k,,
C%23 Developer,78996.0,year,$50k - $121k,$279 - $10k,$48k - $127k,$0 - $1k,,
C%2B%2B Developer,72755.0,year,$56k - $135k,$0 - $22k,$51k - $134k,$0 - $2k,,
C%2B%2B Software Engineer,96143.0,year,$68k - $145k,$3k - $18k,$70k - $159k,,,
Call Center Analyst,18.0,hour,,$0 - $2k,$30k - $59k,,,$14 - $25
Category Analyst,66457.0,year,$50k - $89k,$978 - $10k,$48k - $93k,$2k - $6k,,
Category Development Analyst,66964.0,year,$48k - $86k,$1k - $17k,$48k - $90k,$0 - $5k,,
Certified Ethical Hacker (CEH),84763.0,year,$49k - $125k,$2 - $108k,$44k - $143k,$0 - $12k,,
Certified Records Manager,61000.0,year,$54k - $69k,$0 - $5k,$54k - $70k,$0 - $2k,,
Certified ScrumMaster (CSM),99219.0,year,$68k - $135k,$2k - $16k,$70k - $146k,$950 - $17k,,
Certified Scrummaster (CSM),99219.0,year,$68k - $135k,$2k - $16k,$70k - $146k,$950 - $17k,,
Change%2FRelease Coordinator,66000.0,year,$55k - $99k,,$52k - $76k,,,
"Chief Architect, IT",174760.0,year,$119k - $232k,$10k - $58k,$125k - $256k,$1k - $34k,,
Citrix Administrator,75473.0,year,$54k - $102k,$2k - $10k,$54k - $103k,,,
"Client Support Engineer, IT",43528.0,year,$32k - $75k,$0 - $2k,$33k - $77k,,,
"Client Support Manager, IT",76696.0,year,$53k - $127k,$7k - $17k,$55k - $141k,,,
Clinical Analyst,75403.0,year,$55k - $97k,$309 - $9k,$51k - $97k,$201 - $20k,,
Clinical Applications Specialist,80953.0,year,$56k - $107k,$986 - $12k,$53k - $114k,$844 - $12k,$16k - $48k,
Clinical Applications Specialist (Diagnostics),81350.0,year,$51k - $98k,$10k - $32k,$51k - $124k,,,
Clinical Data Analyst,72495.0,year,$52k - $97k,$580 - $8k,$48k - $94k,$0 - $5k,,
Clinical Data Manager,78713.0,year,$51k - $112k,$1k - $15k,$50k - $116k,$2k - $11k,,
Clinical Data Specialist,59067.0,year,$39k - $111k,$803 - $3k,$37k - $98k,$0 - $3k,,
Clinical Implementation Specialist,74495.0,year,$59k - $109k,$2k - $9k,$55k - $112k,,,
Clinical Informatics Manager,103706.0,year,$67k - $135k,$500 - $20k,$66k - $135k,$0 - $5k,,
Clinical Informatics Specialist,81923.0,year,$61k - $111k,$521 - $11k,$54k - $112k,$141 - $10k,,
Clinical Nurse Auditor,33.0,hour,,$0 - $850,$57k - $147k,,,$28 - $38
Clinical Outcomes Manager,83560.0,year,$55k - $112k,$0 - $4k,$56k - $110k,,,
Clinical Systems Analyst,68519.0,year,$50k - $97k,$850 - $5k,$47k - $92k,$0 - $5k,,
Clinical Systems Engineer,100305.0,year,$72k - $105k,$0 - $51,$59k - $113k,,,
Cloud Software Architect,140500.0,year,$0 - $141k,,$0 - $141k,,,
Cloud Software Engineer,106482.0,year,$76k - $150k,$2k - $20k,$76k - $159k,$0 - $7k,,
Cloud Solutions Architect,132579.0,year,$88k - $169k,$2k - $25k,$88k - $185k,$2k - $20k,$10k - $47k,
Cloud Solutions Engineer,99626.0,year,$66k - $142k,$999 - $27k,$68k - $147k,$4k - $29k,,
Cognos Software Developer,92271.0,year,$55k - $120k,$2k - $10k,$57k - $129k,,,
Coldfusion Developer,73148.0,year,$51k - $100k,$2k - $11k,$60k - $131k,,$0 - $4k,
Computer Aided Design (CAD) Manager,77113.0,year,$54k - $105k,$974 - $9k,$51k - $106k,$993 - $10k,,
Computer Aided Design (CAD) & Geographic Information Systems (GIS) Manager,55000.0,year,$0 - $55k,$0 - $4k,$0 - $55k,,,
Computer Aided Design (CAD) & Geographic Information Systems (GIS) Technician,25.0,hour,,$0 - $2k,$43k - $102k,,,$23 - $33
Computer Aided Design and Drafting (CADD) & Geographic Information Systems (GIS) Specialist,57000.0,year,$41k - $82k,$0 - $2k,$32k - $83k,,,
Computer Aided Design and Drafting (CADD) & Geographic Information Systems (GIS) Technician,21.0,hour,,$0 - $1k,$30k - $63k,,,$14 - $29
Computer Analyst,74987.0,year,$41k - $98k,$979 - $20k,$40k - $101k,$0 - $7k,,
Computer Hardware Technician,17.0,hour,,$500 - $2k,$29k - $65k,,,$13 - $25
Computer Help Desk Operator,16.0,hour,,$0 - $4k,$21k - $55k,,,$10 - $23
Computer Help Desk Representative,16.0,hour,,,$29k - $65k,,,$12 - $40
Computer Lab Assistant,11.0,hour,,,$17k - $35k,,,$8 - $17
Computer Lab Facilitator,11.0,hour,,,$20k - $39k,,,$0 - $11
Computer Network / LAN Analyst,27.0,hour,,,$0 - $62k,,,$0 - $27
Computer Network / LAN Specialist,55000.0,year,$41k - $71k,$0 - $5k,$34k - $73k,,,
Computer / Network Support Technician,20.0,hour,,$310 - $5k,$32k - $68k,$30 - $6k,$0 - $4k,$15 - $30
Computer Operations Manager,74997.0,year,$49k - $110k,$2k - $12k,$49k - $113k,$0 - $3k,,
"Computer Operations Manager, Data Center",102394.0,year,$61k - $138k,$1k - $23k,$63k - $144k,$0 - $12k,,
Computer Operations Supervisor,60000.0,year,$37k - $82k,$0 - $2k,$37k - $76k,,,
Computer Programmer,69347.0,year,$46k - $107k,$490 - $11k,$42k - $110k,$215 - $19k,,
Computer Scientist,84900.0,year,$58k - $143k,$972 - $16k,$58k - $151k,$487 - $40k,,
Computer Security Specialist,81537.0,year,$55k - $138k,$20 - $12k,$41k - $135k,,,
Computer Services Manager,59927.0,year,$50k - $84k,,$50k - $84k,,,
Computer Software Engineer,77770.0,year,$55k - $119k,$200 - $20k,$51k - $120k,$4k - $12k,,
"Computer Software Engineer, Applications",81706.0,year,$52k - $120k,$775 - $15k,$50k - $120k,$3k - $15k,,
"Computer Software Engineer, Systems Software",89946.0,year,$67k - $143k,$613 - $13k,$57k - $152k,$900 - $10k,,
Computer Specialist,65074.0,year,$41k - $103k,$1k - $4k,$33k - $102k,$0 - $2k,,
Computer Support Specialist,20.0,hour,,$721 - $5k,$32k - $64k,$170 - $4k,,$14 - $30
Computer Support Technician,20.0,hour,,$142 - $1k,$31k - $67k,,,$15 - $33
Computer Systems Analyst,77734.0,year,$54k - $108k,$972 - $10k,$50k - $108k,$0 - $213,,
Computer Technical Support Specialist,22.0,hour,,$492 - $10k,$34k - $72k,$1k - $5k,,$15 - $30
"Computer and Information Scientist, Research",100376.0,year,$38k - $179k,$3k - $31k,$49k - $204k,$440 - $81k,,
Configuration Analyst,65976.0,year,$50k - $95k,$988 - $7k,$46k - $97k,$194 - $7k,,
Configuration Management (CM) Analyst,77095.0,year,$55k - $103k,$570 - $5k,$52k - $103k,$0 - $1k,,
Configuration Management (CM) Manager,96340.0,year,$69k - $138k,$2k - $11k,$69k - $141k,$6k - $12k,,
Configuration Management (CM) Specialist,70399.0,year,$50k - $100k,$218 - $6k,$47k - $100k,$3k - $11k,,
Configuration Management (CM) Technician,66000.0,year,$49k - $104k,,$49k - $104k,,,
Configuration Manager,95206.0,year,$65k - $137k,$986 - $12k,$61k - $140k,$1k - $19k,,
"Configuration Manager, IT",94877.0,year,$63k - $148k,$0 - $11k,$63k - $158k,,,
"Configuration Manager, Software / Computer Hardware",117688.0,year,$65k - $161k,$2k - $17k,$34k - $161k,,,
Consulting Software Engineer,132940.0,year,$80k - $167k,$1k - $10k,$78k - $175k,,,
Content Analyst,61757.0,year,$44k - $78k,$705 - $9k,$38k - $76k,,,
Content Manager,64613.0,year,$45k - $95k,$554 - $11k,$41k - $97k,$615 - $10k,$0 - $1k,
Cryptographer,120.0,hour,,,$176k - $569k,,,$0 - $120
Cryptologist,73067.0,year,$67k - $78k,,$67k - $78k,,,
Crystal Reports Developer,77013.0,year,$51k - $110k,$0 - $4k,$50k - $120k,$0 - $2k,,
Customer Relationship Management (CRM) Administrator,60505.0,year,$45k - $91k,$2k - $15k,$44k - $93k,$2k - $3k,,
Customer Relationship Management (CRM) Application Administrator,58190.0,year,$50k - $87k,$1k - $4k,$49k - $90k,,,
"Customer Service Scheduling Analyst, Call Center",16.0,hour,,,$34k - $40k,,,$16 - $19
"Customer Service Traffic and Scheduling Analyst, Call Center",16.0,hour,,$500 - $3k,$27k - $56k,,,$13 - $21
Customer Support Engineer,71285.0,year,$49k - $107k,$2k - $10k,$44k - $104k,$5k - $10k,,
Cyber Security Analyst,80311.0,year,$56k - $120k,$1k - $12k,$54k - $123k,$498 - $15k,$0 - $15k,
Data Administrator,58365.0,year,$42k - $84k,$1k - $11k,$35k - $83k,$0 - $1k,,
Data Architect,130110.0,year,$82k - $172k,$2k - $26k,$83k - $187k,$1k - $20k,,
Data Center Manager,101894.0,year,$65k - $146k,$2k - $20k,$61k - $153k,$3k - $70k,,
Data Center Technician,25.0,hour,,$999 - $10k,$40k - $80k,$756 - $9k,,$19 - $35
Data Consultant,92565.0,year,$64k - $135k,$2k - $14k,$64k - $148k,$1k - $8k,,
Data Conversion Analyst,59884.0,year,$46k - $89k,$503 - $10k,$35k - $87k,$0 - $2k,,
Data Conversion Specialist,60191.0,year,$50k - $87k,$587 - $12k,$35k - $85k,,,
Data Coordinator,19.0,hour,,$205 - $4k,$33k - $58k,$1k - $3k,,$15 - $25
Data Engineer,95302.0,year,$67k - $135k,$2k - $17k,$67k - $144k,$1k - $20k,,
Data Integration Analyst,67405.0,year,$48k - $100k,$709 - $7k,$46k - $100k,$0 - $3k,,
Data Integrity Analyst,58369.0,year,$45k - $81k,$489 - $13k,$35k - $80k,,,
Data Integrity Specialist,20.0,hour,,$214 - $10k,$32k - $65k,$0 - $2k,,$15 - $27
Data Management Analyst,70386.0,year,$52k - $97k,$1k - $11k,$46k - $97k,$0 - $3k,$0 - $2k,
Data Management Consultant,103098.0,year,$47k - $146k,$3k - $21k,$49k - $181k,$0 - $4k,,
Data Management Specialist,61486.0,year,$43k - $103k,$360 - $17k,$39k - $96k,$789 - $30k,,
