jobs,description,loc,datePosted,workhours,salary,contract_type,experience,diploma,skills,qualifications,industry,company,size,company_description,tools,ID_dep,ville,date
ANALYSTE APPLICATIF DATA FINANCE RH (H/F),"Dans le cadre d'un important projet avec un groupe international, nous recherchons un Analyste applicatif data domaine finance et rh.
Intégré à la dsi et encadré par son responsable, vous pilotez et contribué au maintien de la qualité de fonctionnement et au support des applications placées sous votre responsabilité.

Vous êtes féru de manipulation de données et possédez une première expérience dans le domaine IT lié à la Finance et ou RH

De formations supérieure en informatique, vous avez une expérience de 2 ans minimum dans un poste équivalent. Vous possédez une grande aisance dans la manipulation de données et souhaitez travailler dans des projets d'envergure dans un contexte international.
Anglais professionnel nécessaire, contexte international.",92 - ISSY LES MOULINEAUX,Actualisé le 07 août 2023,35H Travail en journée,50000.0 - 60000.0,Contrat à durée indéterminée,2 ans,,"['Adapter les outils de traitement statistique de données', ""Définir et faire évoluer des procédés de traitement de l'information"", 'Présenter et diffuser les résultats des études réalisées', 'Réaliser une étude', ""Rédiger l'information produite""]",Cadre,Conseil en systèmes et logiciels informatiques,INFORMATIS T.S.,6 à 9 salariés,,,92,ISSY LES MOULINEAUX,2023/08/07
Ingénieur DATA (H/F),"Nous recherchons : un Ingénieur DATA H/F.

Pour le compte de la DIRECTION ARCHITECTURE, SECURITE ET TRANSFORMATION DATA, vos principales missions seront :

assurer la disponibilité des ressources informatiques aux différents métiers de l'entreprise
analyser et corriger les incidents applicatifs sur le périmètre batch et fil de l'eau
prendre en charge les incidents, les piloter entièrement en minimisant les impacts et en respectant les engagements clients, au travers des indicateurs existants
contribuer aux travaux d'optimisation des traitements en assistance aux projets

Partager les bonnes pratiques de développement en termes de qualité de code et de tests, en étant force de proposition pour l'amélioration continue

Suivre la bonne exécution du plan batch quotidien, en environnement de PProd et Prod
Assurer la communication quotidienne, vers les cas d'usage, sur le statut du plan batch
Effectuer les relances de traitements en cas de plantages
Généraliser les bonnes pratiques d'industrialisation
Contribuer à la gestion continue des différents environnements
Contribuer à la migration des traitements vers la nouvelle plateforme cible SPARK (Mesos ou Openshift)
Contribuer à la migration des données vers un stockage alternatif à HDFS (S3 ou autre)

Vous avez une expérience significative de réalisations en méthode Agile

Vous êtes un spécialiste de la DATA de masse, et bénéficiez d'une expérience professionnelle significative dans un poste similaire.
Les missions publiées sur Hunteed ne doivent en aucun cas être diffusées sur l'APEC. Elles peuvent l'être sur d'autres supports à la condition de les anonymiser afin d'éviter que les candidats postulent directement chez les clients. Nous vous remercions de respecter scrupuleusement cette consigne.

Les périmètres technologiques sont les suivants :

Vos Acquis (impératifs) :

SPARK (V2.4)
HIVE - HDFS - OOZIE - JSON - AVRO - PARQUET
Oracle / MongoDB
SCALA, GitLab
MESOS / OpenShift

Autres Acquis (optionnels) :

SPARK (V3)
SPARK STRUCTURED STREAMING
KAFKA - Kubernetes
MongoDB (modélisation clé/valeur ou arbre de decision)
Stockage Objet (Scality -S3)",92 - PUTEAUX,Actualisé le 07 août 2023,35H Travail en journée,,Contrat à durée indéterminée,2 ans,"Bac+3, Bac+4 ou équivalents","['Application web', 'Concevoir une application web', 'Recueillir et analyser les besoins client', 'Rédiger un cahier des charges, des spécifications techniques', ""Surveiller le fonctionnement d'applicatifs et logiciels""]",Agent de maîtrise,Conseil pour les affaires et autres conseils de gestion,IL CONSULTING,,,"gitlab, kubernetes, mongodb",92,PUTEAUX,2023/08/07
Data Integrity Analyst  (H/F),"ADECCO Lyon Pharma recherche un Data Integrity Analyst H/F pour son client BOEHRINGER INGELHEIM, leader dans le domaine de la santé animale.
Cette mission d'intérim se situe sur le site de Saint-Priest.

Missions : 
Consolider les besoins des utilisateurs GI, créer, développer et valider les feuilles de calcul dans l?outil, d?exécuter les tests de développement / validation avec la traçabilité associée, de gérer la formation des utilisateurs pour l?implémentation du flux de données dans l?outil et les équipements upgradés.

Nous vous proposons :
Démarrage : Au plus tôt
Durée: 11 mois
Horaires : variables
Rémunération annuelle: 32356.66? annuel 13eme et 14 eme mois inclus + Indemnité de déplacement ou remboursement à hauteur de 80 % sur l'abonnement des transports en commun.
Parking
Restaurant d'entreprise

Postulez avec votre CV à jour !!!

Profil recherché :
-Etudes supérieures en biologie avec forte appétence pour la bio-informatique
-Bon relationnel, adaptabilité, rigueur.
Connaissances requises :
-Développement analytique, bio-informatique, anglais écrit et parlé, rédaction documentaire.
-Connaissance des outils digitaux de type cahier de labo électronique, LIMS.",69 - ST PRIEST,Actualisé le 07 août 2023,35H Travail en journée,2311.0,Mission intérimaire - 12 Mois,Débutant accepté,,"['Adapter les outils de traitement statistique de données', ""Définir et faire évoluer des procédés de traitement de l'information"", 'Présenter et diffuser les résultats des études réalisées', 'Réaliser une étude', ""Rédiger l'information produite""]",Employé qualifié,Activités des agences de travail temporaire,ADECCO Onsite,0 salarié (n'ayant pas d'effectif au 31/12 mais ayant employé des salariés au cours de l'année de référence),"Premier réseau d'agences d'emploi en France, Adecco a développé un savoir-faire unique de proximité et met toutes ses compétences à votre service.Nos équipes sont présentes sur tout le territoire, avec plus de 900 agences. Quel que soit le contrat que vous cherchez : CDI, CDD, Intérim, CDI Intérimaire, CDI Apprenant ou alternance, nos experts travaillent chaque jour, pour vous guider vers ce qui vous correspond. Dès maintenant, devenez acteur de votre vie !",,69,ST PRIEST,2023/08/07
Technicien Data (h/f),"Adecco PONTARLIER, recherche pour l'un de ses clients, importante entreprise d'import/export située à Pontarlier, un Technicien DATA (h/f) dans le cadre d'une longue mission.

Vos missions :

Dans le cadre d?une création de poste au sein du service informatique et sous la responsabilité du Coordinateur Business Analyst, nous recherchons un(e) Technicien(ne) Data.

Vos principales missions en Gestion des données seront les suivantes :

Réaliser les opérations de mise à jour des données sur l?ERP Microsoft Dynamics 365 (Data Management : clients, fournisseurs et articles),
Maintenir la cohérence tarifaire et synchroniser les tarifs sur l?ensemble du groupe,
Réaliser les opérations d?extractions et d?analyse de données sous Excel,
Automatiser et optimiser les flux avec la Power Platform,
Effectuer la maintenance de modèles de documents Word et documents commerciaux (factures, bon de livraisons, ect.) et participer au support des utilisateurs sur ces thématiques.

Votre profil :

Vous êtes titulaire d?une formation de niveau bac+2 ou plus en informatique de gestion, avec idéalement des connaissances en programmation,
Vous possédez des capacités d?analyse et de synthèse et appréciez tout particulièrement ?uvrer aux côtés d?une équipe d?experts,
Vous maitrisez les outils de la suite Microsoft Office 365, et notamment Excel (tableaux croisés dynamiques, fonctions),
Une connaissance de la Power Platform de Microsoft et de Microsoft Dynamics 365 ou Power BI serait un plus.

Autres informations :

Poste à pourvoir en CDI.
39 heures par semaine (horaires aménagés).

Rémunération : en fonction de votre expérience.

Si ce poste vous correspond, merci de postuler à l'annonce en ligne.",25 - PONTARLIER,Actualisé le 07 août 2023,35H Travail en journée,,Contrat à durée indéterminée,Débutant accepté,,"['Concevoir et gérer un projet', ""Concevoir un logiciel, un système d'informations, une application"", 'Évaluer le résultat de ses actions']",Employé qualifié,Activités des agences de travail temporaire,ADECCO,6 à 9 salariés,"Premier réseau d'agences d'emploi en France, Adecco a développé un savoir-faire unique de proximité et met toutes ses compétences à votre service.Nos équipes sont présentes sur tout le territoire, avec plus de 900 agences. Quel que soit le contrat que vous cherchez : CDI, CDD, Intérim, CDI Intérimaire, CDI Apprenant ou alternance, nos experts travaillent chaque jour, pour vous guider vers ce qui vous correspond. Dès maintenant, devenez acteur de votre vie !","tableau, power bi",25,PONTARLIER,2023/08/07
Data Engineer        (H/F),"Selon vos expériences, votre mission sera de :

-	Définir les architectures data de nos clients : challenger l'existant et proposer de nouvelles solutions
-	Effectuer des analyses fonctionnelles et de rédiger les spécifications, retranscrire les besoins métiers en solutions techniques
-	Concevoir et développer des pipelines de données
-	Garantir la sécurité et l'intégrité des données
-	Encadrer vos collègues dans le respect de la charge et du planning projet et transmettre votre expertise
-	Être garant des solutions techniques mises en œuvre
-	D'une manière générale, être force de proposition sur les projets de la conception à la mise en production

En fonction de votre expérience, vous serez également amené(e) à intervenir sur les sujets tels que : participation aux avant-ventes, mise en place de POC, accompagnement à la gestion de projet, missions de conseil et d'audit, d'expertise technique et d'optimisation sur tous nos clients.

Pour relever ce défi, il vous faut :

-	Avoir au moins 3 ans d'expérience :
        o      Sur des problématiques de modélisation, d'organisation de données, mise en place de pipelines de données, optimisations techniques
        o	Sur des problématiques d'ingénierie de données : temps-réel, gestion de schémas, résilience, redondance, scalabilité, ordonnancement...
-	Être aguerri(e) à la maitrise du SQL
-	Posséder une réelle appétence pour la donnée, et être toujours en veille sur le domaine
-	Maîtriser une ou plusieurs technologies suivantes :
      o	Azure Data Factory, Azure Databricks
      o	Stockage : SQL Server, Oracle, Azure Datalake, Google Big Query, Snowflake
      o	Big Data : Kafka, Spark, Scala, Hadoop, Google Big Query, HortonWorks, NoSQL
      o	Grand avantage : Posséder une ou des certifications sur les outils maitrisés
-	Sensibilité au cloud (gestion des coûts, scalabilités, flexibilité )
-	En bonus, expériences en décisionnel : modélisation BI et/ou ETL (Talend, SSIS) et/ou outil de dataviz (Power BI, Tableau, Qlik, Microstrategy)
-	Être force de proposition et aimer transmettre votre savoir",33 - BORDEAUX,Actualisé le 07 août 2023,38H30 Travail en journée,30000.0 - 50000.0,Contrat à durée indéterminée,3 ans,,[],Cadre,Conseil en systèmes et logiciels informatiques,THELIO,20 à 49 salariés,,"tableau, power bi, talend, databricks, snowflake, microstrategy",33,BORDEAUX,2023/08/07
Data Engineer (H/F),"Selon vos expériences, votre mission sera de :

-	Définir les architectures data de nos clients : challenger l'existant et proposer de nouvelles solutions
-	Effectuer des analyses fonctionnelles et de rédiger les spécifications, retranscrire les besoins métiers en solutions techniques
-	Concevoir et développer des pipelines de données
-	Garantir la sécurité et l'intégrité des données
-	Encadrer vos collègues dans le respect de la charge et du planning projet et transmettre votre expertise
-	Être garant des solutions techniques mises en œuvre
-	D'une manière générale, être force de proposition sur les projets de la conception à la mise en production

En fonction de votre expérience, vous serez également amené(e) à intervenir sur les sujets tels que : participation aux avant-ventes, mise en place de POC, accompagnement à la gestion de projet, missions de conseil et d'audit, d'expertise technique et d'optimisation sur tous nos clients.

Pour relever ce défi, il vous faut :

-	Avoir au moins 3 ans d'expérience :
        o      Sur des problématiques de modélisation, d'organisation de données, mise en place de pipelines de données, optimisations techniques
        o	Sur des problématiques d'ingénierie de données : temps-réel, gestion de schémas, résilience, redondance, scalabilité, ordonnancement...
-	Être aguerri(e) à la maitrise du SQL
-	Posséder une réelle appétence pour la donnée, et être toujours en veille sur le domaine
-	Maîtriser une ou plusieurs technologies suivantes :
      o	Azure Data Factory, Azure Databricks
      o	Stockage : SQL Server, Oracle, Azure Datalake, Google Big Query, Snowflake
      o	Big Data : Kafka, Spark, Scala, Hadoop, Google Big Query, HortonWorks, NoSQL
      o	Grand avantage : Posséder une ou des certifications sur les outils maitrisés
-	Sensibilité au cloud (gestion des coûts, scalabilités, flexibilité )
-	En bonus, expériences en décisionnel : modélisation BI et/ou ETL (Talend, SSIS) et/ou outil de dataviz (Power BI, Tableau, Qlik, Microstrategy)
-	Être force de proposition et aimer transmettre votre savoir",69 - LYON 02,Actualisé le 07 août 2023,38H30 Travail en journée,30000.0 - 50000.0,Contrat à durée indéterminée,3 ans,,[],Cadre,Conseil en systèmes et logiciels informatiques,THELIO,20 à 49 salariés,,"tableau, power bi, talend, databricks, snowflake, microstrategy",69,LYON 02,2023/08/07
Consultant Data et BI          (H/F),"Selon vos expériences, vous êtes autonome à minima sur 3 typologies de missions décrites ci-dessous :

-	Analyser et définir les architectures data de nos clients : challenger l'existant et proposer de nouvelles solutions.
-	Effectuer des analyses fonctionnelles et rédiger les spécifications, retranscrire les besoins métiers en solutions techniques.
-	Concevoir et développer des flux d'alimentation de plateformes Data.
-	Mettre en place les reporting et Dashboard.
-	Être garant des solutions techniques mises en œuvre.
-	Être force de proposition sur les projets de la conception à la mise en production.
-	Encadrer vos collègues et piloter les projets Data dans le respect de la charge et du planning projet et transmettre votre expertise.

Vous serez également amené(e) à intervenir sur les sujets de participation aux avant-ventes, mise en place de POC, gestion de projet.

Pour relever ce défi, il vous faut :

-	Avoir au moins 3 ans d'expérience :
      o	sur des problématiques de modélisation, mise en place de flux, optimisations techniques
      o	sur la conception et mise en place d'environnements décisionnels de type Datawarehouse et Datamart
-	Être aguerri(e) à la maitrise du SQL
-	Posséder une réelle appétence pour la donnée, et être toujours en veille sur le domaine
-	Maîtriser une ou plusieurs technologies suivantes :
      o	Modern Data Plateform : AZURE, GCP, AWS
      o	Suite BI Microsoft (SSIS, SSAS, SSRS), Azure Data Factory, Azure Databricks
      o	Talend (Data Integration, Data Quality, Big Data, Master Data Management, ESB)
      o	Oracle Data Integrator
      o	Stockage : SQL Server, Oracle, Azure Datalake, Google Big Query, Snowflake
      o	Dataviz : Power BI, Qlik, Tableau Software, Cognos",33 - BORDEAUX,Actualisé le 07 août 2023,38H30 Travail en journée,30000.0 - 50000.0,Contrat à durée indéterminée,3 ans,,[],Cadre,Conseil en systèmes et logiciels informatiques,THELIO,20 à 49 salariés,,"tableau, power bi, talend, databricks, snowflake, sas",33,BORDEAUX,2023/08/07
Consultant Data et BI               (H/F),"Selon vos expériences, vous êtes autonome à minima sur 3 typologies de missions décrites ci-dessous :

-	Analyser et définir les architectures data de nos clients : challenger l'existant et proposer de nouvelles solutions.
-	Effectuer des analyses fonctionnelles et rédiger les spécifications, retranscrire les besoins métiers en solutions techniques.
-	Concevoir et développer des flux d'alimentation de plateformes Data.
-	Mettre en place les reporting et Dashboard.
-	Être garant des solutions techniques mises en œuvre.
-	Être force de proposition sur les projets de la conception à la mise en production.
-	Encadrer vos collègues et piloter les projets Data dans le respect de la charge et du planning projet et transmettre votre expertise.

Vous serez également amené(e) à intervenir sur les sujets de participation aux avant-ventes, mise en place de POC, gestion de projet.

Pour relever ce défi, il vous faut :

-	Avoir au moins 3 ans d'expérience :
      o	sur des problématiques de modélisation, mise en place de flux, optimisations techniques
      o	sur la conception et mise en place d'environnements décisionnels de type Datawarehouse et Datamart
-	Être aguerri(e) à la maitrise du SQL
-	Posséder une réelle appétence pour la donnée, et être toujours en veille sur le domaine
-	Maîtriser une ou plusieurs technologies suivantes :
      o	Modern Data Plateform : AZURE, GCP, AWS
      o	Suite BI Microsoft (SSIS, SSAS, SSRS), Azure Data Factory, Azure Databricks
      o	Talend (Data Integration, Data Quality, Big Data, Master Data Management, ESB)
      o	Oracle Data Integrator
      o	Stockage : SQL Server, Oracle, Azure Datalake, Google Big Query, Snowflake
      o	Dataviz : Power BI, Qlik, Tableau Software, Cognos",69 - LYON 02,Actualisé le 07 août 2023,38H30 Travail en journée,30000.0 - 50000.0,Contrat à durée indéterminée,3 ans,,[],Employé qualifié,Conseil en systèmes et logiciels informatiques,THELIO,20 à 49 salariés,,"tableau, power bi, talend, databricks, snowflake, sas",69,LYON 02,2023/08/07
Consultant Data Confirmé (H/F),"Selon vos expériences, vous êtes autonome à minima sur 3 typologies de missions décrites ci-dessous :

-	Analyser et définir les architectures data de nos clients : challenger l'existant et proposer de nouvelles solutions.
-	Effectuer des analyses fonctionnelles et rédiger les spécifications, retranscrire les besoins métiers en solutions techniques.
-	Concevoir et développer des flux d'alimentation de plateformes Data.
-	Mettre en place les reporting et Dashboard.
-	Être garant des solutions techniques mises en œuvre.
-	Être force de proposition sur les projets de la conception à la mise en production.
-	Encadrer vos collègues et piloter les projets Data dans le respect de la charge et du planning projet et transmettre votre expertise.

Vous serez également amené(e) à intervenir sur les sujets de participation aux avant-ventes, mise en place de POC, gestion de projet.

Pour relever ce défi, il vous faut :

-	Avoir au moins 3 ans d'expérience :
      o	sur des problématiques de modélisation, mise en place de flux, optimisations techniques
      o	sur la conception et mise en place d'environnements décisionnels de type Datawarehouse et Datamart
-	Être aguerri(e) à la maitrise du SQL
-	Posséder une réelle appétence pour la donnée, et être toujours en veille sur le domaine
-	Maîtriser une ou plusieurs technologies suivantes :
      o	Modern Data Plateform : AZURE, GCP, AWS
      o	Suite BI Microsoft (SSIS, SSAS, SSRS), Azure Data Factory, Azure Databricks
      o	Talend (Data Integration, Data Quality, Big Data, Master Data Management, ESB)
      o	Oracle Data Integrator
      o	Stockage : SQL Server, Oracle, Azure Datalake, Google Big Query, Snowflake
      o	Dataviz : Power BI, Qlik, Tableau Software, Cognos",13 - AIX EN PROVENCE,Actualisé le 07 août 2023,38H30 Travail en journée,30000.0 - 50000.0,Contrat à durée indéterminée,3 ans,,[],Cadre,Conseil en systèmes et logiciels informatiques,THELIO,20 à 49 salariés,,"tableau, power bi, talend, databricks, snowflake, sas",13,AIX EN PROVENCE,2023/08/07
DATA ENGINEER FLUX (H/F),"Nous recherchons pour notre client un ou une Data Engineer.
Notre client a lancé un projet de construction de son nouveau socle Data. Un chantier de collecte et de transformations de données est réalisé au sein de la squad DataOnDemand pour mettre à disposition des visions enrichies du marché, des tendances pour aider la prise de décisions et favoriser les initiatives sur les axes stratégiques majeurs, grâce à une meilleure autonomie dans la consommation de data. Il s'accompagne d'une nouvelle politique et d'une nouvelle organisation de gestion de la donnée pour en assurer l'intégrité, la sécurité et la qualité.

Tâches : 

-	Récupérer les données issues de sources externes
-	Utiliser la puissance du Datalake
-	Produire et mettre à disposition automatiquement des agrégats journaliers, hebdomadaires et mensuels.
-	Mise en œuvre de la chaîne :
-	D'ingestion de données, 
-	De validation de données, 
-	De croisement de données, 
-	De déversement dans le datalake des données enrichies
-	Développer dans le respect des règles d'architecture définies
-	Développer et documenter les user stories avec l'assistance du Product Owner.
-	Produire les scripts de déploiement 
-	Prioriser les corrections des anomalies
-	Assister les équipes d'exploitation
-	Participer à la mise en œuvre de la chaîne de delivery continue
-	Automatiser les tests fonctionnels

Aspects Humains :

-	Grande capacité à travailler dans une équipe, en mode Scrum / Kanban.
-	Bonnes compétences relationnelles et grand sens de la communication (capacité à entrer dans le détail).
-	Sensible et informé des évolutions technologiques sur les piles logicielles pratiquées.

Compétences techniques : 

-	Plateforme et environnement GCP 
-	Environnement GKE
-	Développement d'API REST
-	Stockage : HDFS / GCS
-	Traitement : Maitrise de l'écosystème Spark / Kafka / Scala
-	Planification : Airflow / Composer
-	Méthodologies : Scrum, Kanban, Git
-	DWH : SQL, BigQuery, BigTable
-	Delivery : Git, Ansible, Docker, Terraform, Jenkins / Cloud Build",94 - CHARENTON LE PONT,Actualisé le 06 août 2023,38H Travail en journée,38000.0 - 45000.0,Contrat à durée indéterminée,Débutant accepté,,"['Adapter les outils de traitement statistique de données', ""Définir et faire évoluer des procédés de traitement de l'information"", 'Présenter et diffuser les résultats des études réalisées', 'Réaliser une veille documentaire', ""Rédiger l'information produite""]",Cadre,Conseil en systèmes et logiciels informatiques,OBJECTWARE,50 à 99 salariés,"Le Groupe Objectware fondé en 1999 est une ESN (Entreprise de Services du Numérique) spécialisée dans le Conseil et l'Ingénierie en Systèmes d'Informations.Le groupe représentant presque 800 collaborateurs en France (IDF, Strasbourg, Nancy, Lille, Bordeaux, Nantes) et à l'International (Luxembourg, Belgique) pour environ 70 M? de CA.","jenkins, docker",94,CHARENTON LE PONT,2023/08/06
