jobs,description,workhours,salary,contract_type,experience,diploma,skills,qualifications,industry,company,size,company_description,tools,ID_dep,ville,date
ASSISTANT DATA ANALYSTE,"Votre mission : Dans un cadre général au sein d'une PME spécialisé dans le conseil et la gestion, vous collectez et saisissez les données qui vous sont transmises par les analystes financiers. 

A ce titre, vous prenez en charge les activités suivantes : 
 - Saisir les données dans le progiciel dédié 
- Contrôler et vérifier les données communiquées par ls analystes 
- Editer et participer à la rédaction des rapports 
- Optimiser la gestion des outils 
- Gérer différentes tâches administratives (mails/courriers/appels)
- Apporter un support aux équipes en place 

Avantages : 
- Prime (équivalent 13e mois)
- Prime d'intéressement 
- Prise en charge 50% des transports en commun 
- Entreprise avec un esprit start-up Pour mener à bien les missions de ce poste, nous recherchons les qualités et prérequis suivants : 
- Aisance relationnelle 
- Organisation 
- Capacité de synthèse

Vous aimez les chiffres et avez envie de monter en compétence au sein d'une PME en pleine évolution.
Vous cherchez avant tout à intégrer une entreprise avec de véritables valeurs de proximité et de partage. 
De bonnes notions d'anglais est un plus à votre candidature 

Vous vous êtes reconnu dans cette offre, alors postulez ! Menway Emploi est la marque du pôle travail temporaire du Groupe Menway. Elle réunit au sein de ses 60 agences le travail en intérim ainsi que le recrutement de CDD et CDI. Au coeur des bassins d'emploi, nos agences recrutent dans divers secteurs d'activité.",35H Travail en journée,22000.0 - 35000.0,Contrat à durée indéterminée,1 an,,"Codifier un mandat,Codifier un titre,Codifier une facture,Effectuer le suivi des commandes, la facturation,Logiciels comptables",Agent de maîtrise,Activités des agences de travail temporaire,MENWAY EMPLOI,"Votre consultant(e) Menway Emploi Villeneuve-d'Ascq, expert en recrutement dans le domaine tertiaire vous accompagne dans votre recherche d'emploi. Nous recherchons pour notre client, spécialisé dans la gestion financière, un/une ASSISTANT DATA ET SAISIE FINANCIERE dans le cadre d'un CDI.","Votre consultant(e) Menway Emploi Villeneuve-d'Ascq, expert en recrutement dans le domaine tertiaire vous accompagne dans votre recherche d'emploi. Nous recherchons pour notre client, spécialisé dans la gestion financière, un/une ASSISTANT DATA ET SAISIE FINANCIERE dans le cadre d'un CDI.",,59,WASQUEHAL,2023/08/08
Ingénieur DATA #gclt,"Rejoignez un projet XXL aux portes de l'Italie !

Le Groupement Vinci Construction / We Build recrute un.e Ingénieur.e Data dans le cadre de la création puis de la mise en place d'une interface / d'un outil permettant d'automatiser la récupération d'informations nécessaire au travail de la cellule Environnement.

Quelques exemples de données à récolter sur chantiers :

&gt; Consommation électrique des chantiers
&gt; Performance ventilation
&gt; Matériel / Matériaux achetés
&gt; Kms parcourus par les véhicules
&gt; Données liées au traitement des eaux
&gt; Quantité de matériaux excavés
&gt; Liste non exhaustive...

A ce jour, toutes ces informations n'arrivent pas de manière automatique auprès de la cellule environnement et la quantité de données traitée est d'ors et déjà considérable (bien que nous ne soyons qu'aux prémices de ce projet hors normes).

Nous recherchons donc, une personne capable d'étudier, de concevoir et de déployer une plateforme / un outil permettant d'obtenir facilement et instantanément les données. 

Les indicateurs viennent principalement des cellules Matériel, Achat et RH, vous serez donc amené.e à travailler de manière transverse avec les fonctions opérationnelles et supports.

Votre profil :

Vous aimez penser et déployer de nouveaux outils.
Orienté traitement de DATA, programmation, vous êtes capable créer des interfaces qui faciliteront les échanges entre les diverses cellules du projet.

Mission CDD / intérim ou freelance / prestation",37H Travail en journée,,Contrat à durée déterminée - 6 Mois,Débutant accepté,,,Cadre,Construction d'ouvrages d'art,Groupement Vinci Construction / We Build,0 salarié (n'ayant pas d'effectif au 31/12 mais ayant employé des salariés au cours de l'année de référence),,,73,ST MICHEL DE MAURIENNE,2023/08/08
Professeur / Professeure Data RH,"Vous enseignerez la discipline "" DATA RH "" à des apprenti(e)s en Licence RH :

Les data RH disponibles externes à une entreprise : données qualitatives/données quantitatives
Les data RH disponibles internes à une entreprise : données qualitatives/données quantitatives
Les data RH d'un secteur d'activités 
Présentation des analyses : de la mise en place jusqu'à la recommandation

Environ 45 Heures annuelles
Taux horaire : 50 euros - Net de taxe ou TTC
Bac +5 DATA et statistiques souhaité",,,Profession libérale,Débutant accepté,Bac+5 et plus ou équivalents - data / Stats / ...,"Concevoir et préparer les cours, les travaux dirigés ou les travaux pratiques,Enseigner, transmettre des connaissances, développer des compétences,Techniques de communication orales, écrites et numériques,Techniques pédagogiques,Évaluer des acquis d'apprentissage, de formation ou d'expérience",Agent de maîtrise,Activités des organisations patronales et consulaires,CCI SERVICE FORMATION TERTIAIRE,0 salarié (n'ayant pas d'effectif au 31/12 mais ayant employé des salariés au cours de l'année de référence),,,26,VALENCE,2023/08/08
Senior Data Scientist,"Nous sommes à la recherche d'un(e) Senior Data Scientist pour concevoir et perfectionner de manière itérative les modèles utilisés au sein de l'entreprise. Adikteev opère dans plusieurs secteurs d'activité et au minimum, vous serez impliqué(e) dans les efforts concernant notre plateforme de reciblage et notre plateforme de prédiction de la valeur à vie (LTV).

VOS PRINCIPALES RESPONSABILITÉS

- Concevoir, déployer, surveiller, maintenir et améliorer les modèles d'apprentissage automatique. Vous collaborerez avec les ingénieurs backend et les ingénieurs data à ces fins. Actuellement, nos modèles répondent à des besoins divers (conversion des utilisateurs, rétention, recommandation d'applications, segmentation des utilisateurs...) et ont été développés et améliorés au fil des années pour optimiser leurs performances tout en tenant compte des principales contraintes de notre industrie : temps d'inférence et volume de données.
- Effectuer des analyses personnalisées pour fournir des informations à différents niveaux d'intervenants (analyser les variations de performance, les tests A/B, évaluer un potentiel commercial, analyse préalable à la vente...).
- Encadrer un(e) jeune data scientist. 

EXIGENCES CLÉS

- Compétences mathématiques - comprend et apprécie l'application de concepts théoriques de probabilité, d'apprentissage statistique et d'optimisation. Désir de se tenir au courant des recherches académiques et professionnelles pertinentes.
- Compétences en ML (apprentissage automatique) - Maîtrise de l'interrogation, de la structuration et du traitement de données qualitatives ou quantitatives pour tirer des conclusions commerciales pertinentes. Connaissance de diverses techniques d'apprentissage automatique et de leurs avantages/inconvénients dans le monde réel.
- Compétences techniques - Programme habilement en Python (principaux packages : pandas, numpy, scipy, scikit-learn, statsmodels...) en respectant les meilleures pratiques de codage (code propre, DRY, typage, tests, formatage, factorisation...). L'expérience avec PySpark (ou Scala) est un plus. Connaissance de base des langages de bases de données (SQL). Compétence en script shell, expérience du déploiement en production. L'expérience avec AWS est un plus.
- Compétences relationnelles principales - Apprentissage rapide, autonomie, travail d'équipe, créativité.
- Communication - Parle et écrit de manière claire et concise. Anglais courant, le français est un plus.",35H Travail en journée,,Contrat à durée indéterminée,5 ans,,"Adapter les outils de traitement statistique de données,Définir et faire évoluer des procédés de traitement de l'information,Présenter et diffuser les résultats des études réalisées,Réaliser une veille documentaire,Rédiger l'information produite",Cadre,Conseil en systèmes et logiciels informatiques,ADIKTEEV,0 salarié (n'ayant pas d'effectif au 31/12 mais ayant employé des salariés au cours de l'année de référence),,scikit-learn,75,PARIS 02,2023/08/08
Data Scientist (h/f),"Votre Agence Adecco de Bonneville recrute pour l'un de ses clients de l'industrie automobile basé sur Marnaz un Data Scientist (h/f) sur du long terme.?

Rattaché(e) à la Responsable Master Data, vous gérez les principales activités suivantes :


 - Organiser et conduire les ateliers de construction des modèles de données pour chaque référentiel groupe
 - Accompagner les métiers à la définition des règles d?archivage, de gestion et de contrôle qualité
 - Assurer les contrôles préliminaires de cohérence des données
 - Accompagner l?administrateur des données au transcodage des règles de contrôle qualité dans Talend
 - Assurer les contrôles préliminaires de cohérence des données
 - Participer au processus de migration des données dans l?ERP cible en accompagnant les métiers à l?identification des écarts et à la mise en conformité des data dans la/les solutions cible
 - Identifier les incohérences avec l?architecture et participer à la synchronisation de l?intégrité des flux
 - Assurer la supervision et l?intégration des données de diverses natures et vérifier la qualité des données qui entrent dans le Data Lake
 - Structurer le cycle de vie de la donnée dans le respect des réglementations RGPD & ISO24143

Issu(e) d'une formation en Informatique de niveau BAC+2/+3, profil junior ou expérimenté.
Vous possédez une première expérience de gestion de projet informatique, vous savez animer des ateliers.
Très organisé(e), rigoureux(se), réactif(ve), vous savez gérer les priorités.
Votre sens du service et votre aisance relationnelle vous permettent d?instaurer un climat de confiance avec vos différents interlocuteurs.

Rejoindre ADECCO c'est bénéficier d'un Comité d'Entreprise avantageux :) :
(avoir travaillé 911 heures de travail dans les 12 derniers mois)
Prime vacances de 200? /an
Prime sports & loisirs de 150? /an
8 tickets Ciné par trimestre à 4,50? le ticket
Chèque culture d'un montant de 240?, Le CE prend en charge 50% du montant de votre commande
Compte Epargne Temps à 6%
FASTT pour des aides sur le logement, et la mobilité...
La mutuelle ""Intérimaire santé""

Alors convaincus ? Candidatez en ligne ?",35H Travail en journée,,Mission intérimaire - 1 Mois,Débutant accepté,,"Adapter les outils de traitement statistique de données,Définir et faire évoluer des procédés de traitement de l'information,Présenter et diffuser les résultats des études réalisées,Réaliser une veille documentaire,Rédiger l'information produite",Employé qualifié,Activités des agences de travail temporaire,ADECCO,6 à 9 salariés,"Premier réseau d'agences d'emploi en France, Adecco a développé un savoir-faire unique de proximité et met toutes ses compétences à votre service.Nos équipes sont présentes sur tout le territoire, avec plus de 900 agences. Quel que soit le contrat que vous cherchez : CDI, CDD, Intérim, CDI Intérimaire, CDI Apprenant ou alternance, nos experts travaillent chaque jour, pour vous guider vers ce qui vous correspond. Dès maintenant, devenez acteur de votre vie !",talend,74,MARNAZ,2023/08/08
Data Analyst - Performance Commerciale,"VPI (Vicat Produits Industriels), filiale du Groupe, est spécialisée dans la conception, fabrication et commercialisation de mortiers industriels, colles, enduits de façades, peintures et systèmes constructifs appliqués aux travaux de gros œuvre, second œuvre, TP et génie civil.

Dans le cadre de son développement, le groupe Vicat recherche pour sa filiale VPI (Vicat Produits Industriels), un(e) Data Analyst - Performance Commerciale (H/F) , basé(e) à l'Isle d'Abeau (38).

Directement rattaché(e) au Responsable Performance Opérationnelle, l'Analyste Data Performance Commerciale H/F est en charge des missions suivantes :

- Performance Commerciale

Superviser et assurer la fonction de Key User BI (Business Object SAP)
Assurer et contrôler les différents ratios Chiffres d'Affaires, Prix Moyen de Vente, Tonnage 
Gérer les évolutions des indicateurs en fonction des besoins métiers
Mettre au point les statistiques commerciales et les suivis des opérations
Contrôler, analyser, communiquer de façon claire les tableaux de bord et les KPI définis avec la direction commerciale
Fiabiliser les données de facturation en effectuant des contrôles hebdomadaires
Former et accompagner les utilisateurs sur l'outil BI
Suivre les opérations promotionnelles Régionales et Nationales

- Budgets et objectifs commerciaux

Superviser et participer à l'élaboration du budget commerce
Créer des différentes maquettes budgétaires sur le domaine des ventes
Communiquer et accompagner de la force de ventes
Participer aux réunions sur le budget commercial
Compiler des maquettes
Décliner les éléments pour chaque Régions collaborateurs

- Rentabilité/Profitabilité

Accompagner l'ensemble des collaborateurs autorisés sur la BI Profitabilité
Gérer les accès en lien avec la fonction des collaborateurs
Créer les rapports sur la BI Profitabilité pour permettre différentes analyses (enseignes, familles )
Réaliser les études de rentabilité afférant à des opérations commerciales, ou nouveaux clients

- Support

Gérer les dotations informatiques et les fichiers informatisés pour force de vente
Gérer les signatures des nouveaux collaborateurs pour les documents administratifs automatisés",37H Travail en journée,,Contrat à durée indéterminée,2 ans,Bac+5 et plus ou équivalents statistique,"Analyse statistique,Analyser, exploiter, structurer des données,BI,Business Intelligence (BI) / Informatique décisionnelle,Excel,Présenter et diffuser les résultats des études réalisées,Réaliser une étude,Adapter les outils de traitement statistique de données,Définir et faire évoluer des procédés de traitement de l'information,Rédiger l'information produite",Cadre,Fabrication de mortiers et bétons secs,VICAT PRODUITS INDUSTRIELS,50 à 99 salariés,"Groupe cimentier français présent dans 12 pays, Vicat emploie près de 9 900 collaboratrices et collaborateurs et réalise un chiffre d'affaires consolidé de plus de 3,6 milliards d'euros, dont 65 % à l'international.Dans la lignée de Louis Vicat, inventeur du ciment artificiel en 1817, l'entreprise familiale, créée il y a 166 ans et résolument tournée vers l'avenir, développe une offre performante de matériaux, produits et services adaptée à l'évolution constante des métiers de la construction.",tableau,38,L ISLE D ABEAU,2023/08/08
ANALYSTE APPLICATIF DATA FINANCE RH,"Dans le cadre d'un important projet avec un groupe international, nous recherchons un Analyste applicatif data domaine finance et rh.
Intégré à la dsi et encadré par son responsable, vous pilotez et contribué au maintien de la qualité de fonctionnement et au support des applications placées sous votre responsabilité.

Vous êtes féru de manipulation de données et possédez une première expérience dans le domaine IT lié à la Finance et ou RH

De formations supérieure en informatique, vous avez une expérience de 10 ans minimum dans un poste équivalent. Vous possédez une grande aisance dans la manipulation de données et souhaitez travailler dans des projets d'envergure dans un contexte international.
Anglais professionnel nécessaire, contexte international.",35H Travail en journée,50000.0 - 60000.0,Contrat à durée indéterminée,2 ans,,"Adapter les outils de traitement statistique de données,Définir et faire évoluer des procédés de traitement de l'information,Présenter et diffuser les résultats des études réalisées,Réaliser une étude,Rédiger l'information produite",Cadre,Conseil en systèmes et logiciels informatiques,INFORMATIS T.S.,6 à 9 salariés,,,92,ISSY LES MOULINEAUX,2023/08/08
Assistant.e Marketing digital/data analyst en alternance,"Acteur majeur dans le domaine du complément alimentaire et 3ème sur le marché national, le Laboratoire Nutergia poursuit son développement commercial et humain, en pleine nature aveyronnaise.
Maîtrisant l'ensemble des phases de vie de ses produits, le laboratoire Nutergia est riche de la diversité de ses collaborateurs et de la large palette de leurs métiers. Fortement engagés dans la démarche environnementale, dynamiques et créatifs, nous recrutons actuellement un(e) :

Assistant(e) Marketing digital/data analyst en alternance : contrat d'APPRENTISSAGE ou de PROFESSIONNALISATION

 	Vos missions :
Au sein du service Marketing, vous serez en charge de déployer et mettre en œuvre la stratégie de communication définie par la Direction selon 2 cibles : professionnels de santé et grand public. A ce titre, vos missions principales seront :

-	Accompagner le déploiement de la communication digitale de l'entreprise et de ses activités sur les réseaux sociaux (Instagram, Facebook, Linkedin, Twitter) : participer à la définition du planning de publications, développer des communautés, créer des publications et des campagnes de social ads, lancer et suivre des animations (ex : jeux concours).
-	Mettre en place et suivre les KPI : Création de reporting, analyse et proposition stratégique
-	Organiser des campagnes d'emailling : créer et optimiser les mises en pages, réaliser des campagnes automatisées 
-	Réaliser une veille digitale stratégique

Vous pourrez être amené.e à travailler en renfort sur divers projets de communication en fonction de l'actualité.

 	Vos atouts :

De formation initiale Bac + 3 en communication digitale, vous préparez une formation type Master en communication  digitale/community management/data-analyst marketing.

Vous maitrisez les techniques de communication digitale, et de rédaction sur les réseaux sociaux et utilisez les outils d'analyses et de statistiques. Vous savez utiliser les plateformes des réseaux sociaux telles que Facebook, Twitter, Instagram, LinkedIn ainsi que Google Analytics G4, et vous avez une appétence pour le community management et l'analyse des data.

Vous disposez de qualités rédactionnelles et orthographiques, d'une bonne maîtrise en bureautique (Pack office, Canva).

Vous êtes reconnu(e) pour votre rigueur et votre créativité et êtes force de proposition. Vous savez vous adapter et vous appréciez le travail en équipe.

La connaissance des outils tels qu'Hootsuite, Canva, Business manager, Google Analytics, Data studio, Sarbacane serait un atout majeur.

 	Conditions :

-	Lieu : Capdenac-Gare (12) - Véhicule nécessaire
-	Durée : 1 ou 2 ans en alternance
-	Prise d'effet : début septembre 2023
-	Salaire : selon règlementation 
-	Avantages : CSE, Tickets Restaurant 

Vous aimez travailler en équipe autour de projets innovants, améliorer vos compétences et développer votre expertise ? Alors n'hésitez plus, envoyez votre candidature complète (CV, lettre de motivation) par email à : recrutement@nutergia.fr",35H Travail en journée,900.0 - 1100.0,Contrat à durée déterminée - 12 Mois,Débutant accepté,,"Mettre en oeuvre des actions commerciales et promotionnelles,Mettre en place des solutions d'amélioration de la performance,Élaborer un plan marketing, une stratégie de marque et de communication,Marketing digital,Rédiger un rapport, un compte rendu d'activité,Élaborer une stratégie de marketing digital",Employé qualifié,Fabrication d'aliments homogénéisés et diététiques,LABORATOIRE NUTERGIA,200 à 249 salariés,"Le Laboratoire NUTERGIA, basé au c?ur de la nature entre Aveyron et Lot, est un acteur majeur dans le domaine du complément alimentaire et de la santé.Mme Virginie Laromiguiere",,12,CAPDENAC GARE,2023/08/08
Data Analyst Power BI,"Dans le cadre de notre développement, nous recrutons pour intégrer notre projet sur Lyon (69) un :

Data Analyst Power BI (H/F)

Vos missions, si vous les acceptez :
Mission 1 : Conception / Modélisation / DataMining :
Description des prestations

Contribution à la conception et à la modélisation du Cube SSAS, de la solution SSIS et de la DataViz.
(Power BI / SSRS) des évolutions des versions de l'application PMD.
-	Expression de besoin
-	Proposition de solution
-	Documentation existante
-	Catalogue de service ou contrat d'interface des applications partenaires

Mission 2 : Développement :
Description des prestations

1/ Réaliser les évolutions

O Modélisation du cube SSAS
-	Requêtes de mise à jour
-	Structuration du data model
-	Mesures
-	KPI

O SQL SERVER (packages SSIS)
O SQL Server : Création d'objets (tables, vues, contraintes, partitionnement, index,  )
O DataViz : rapports PowerBI ou SSRS

- Les rapports sous PowerBI sont assez complexe car on utilise les signets et une navigation
Entre les rapports pour simuler une application

-	Réaliser les tests unitaires, vérifier la conformité du résultat attendu, ainsi que la non-régression.
-	Produire les « packages » de livraison au format requis par l'outil de livraison.
-	Développer les jobs pour automatiser les traitements batchs (SQL Server Agents).
-	Rédiger les procédures d'installation et de retour-arrière.
-	Soutien aux exploitants pour l'installation des produits applicatifs.
-	Capitaliser avec les acteurs projet et technique.
-	Mettre à jour la documentation existante.

Mission 3 : Contribution à la qualification :
-	Contribuer à l'analyse des anomalies rencontrées pendant les phases de qualification (VABF, QPM,tests 2 à 2) et après les mises en production.
-	Apporter une expertise et développer les correctifs.

Tâche 4 : Contribution au projet en mode AGILE :
-	Contribuer à la mise en place de l'agilité.
-	Participer aux réunions quotidiennes (daily meeting) avec les métiers.
-	Soutien aux métiers pour la rédaction des stories.
-	Estimation des stories avant priorisation par le métier.

Tâche 5 : Contribution aux traitements des tickets incidents :
-	Traiter les tickets de la chaîne de soutien reçus sur le projet et identifier et déclarer les anomalies si besoin.
-	Mise en ligne de message quand on a une indisponibilité sur l'application ou une situation dégradée. 
-	Capitaliser sur la résolution des incidents avec les acteurs projet PMD.

Tâche 6 : Contribution à la montée en compétences :
-	Monter en compétences sur le projet PMD et récupérer les compétences du prestataire remplacé.
Compétence Techniques :
-	Tests
-	Fonctionnement des flux et réseaux SI
Fonctionnel : 
-	Spécification technique et documentation
-	POWER BI
-	Microsoft SSAS
-	GitLab
-	SQL
-	JIRA
Base de données : 
-	Microsoft SQL Server 

Le profil que nous recherchons :
Nous cherchons un profil informatique avec minimum 3 ans d'expérience professionnelle en tant que Data Analyst Power BI.
Vous avez une expérience dans des développements Python ou autres technologies de développement.
Vous êtes pédagogue et vous savez expliquer clairement aux autres membres de l'équipe les solutions implémentées.
Vous vous reconnaissez dans cette description ? Echangeons !
Prise de fonction : A définir selon disponibilité
Salaire : Selon profil 

Pourquoi nous rejoindre ?
L'innovation, la qualité et l'agilité sont au cœur du développement de nos activités IT, encadrées et assurées par nos 850 collaborateurs et collaboratrices français(es) et bulgares !
Notre savoir-faire ? Conseil, Développement, Analyse et Expertise Informatique pour accompagner nos clients dans l'évolution et la transformation de leur SI. 
En plus de notre maîtrise des technologies PHP, JavaEE et .Net qui sont des composantes fortes de notre savoir-faire, nous mettons en avant une expertise dédiée aux applications mobiles et XNet (Inter, Intra et Extr",35H Travail en journée,35000.0 - 45000.0,Contrat à durée indéterminée,3 ans,,"Adapter les outils de traitement statistique de données,Définir et faire évoluer des procédés de traitement de l'information,Présenter et diffuser les résultats des études réalisées,Réaliser une étude,Rédiger l'information produite",Cadre,Conseil en systèmes et logiciels informatiques,PROXIAD,1 ou 2 salariés,"Créée en 1997, Proxiad est une société de Conseil et d'Expertise dans les nouvelles technologies et les systèmes d'information. Expert en innovation digitale, nous développons un savoir-faire unique en accompagnant nos 850 collaborateurs dans leur épanouissement professionnel pour qu ils soient en constante progression et toujours à la pointe de la technologie, dans un contexte humainement agréable et motivant.","jira, gitlab, power bi, sas",69,LYON 06,2023/08/08
RCM / Pricing Data Analyst,"Dans un contexte stratégique de mise en œuvre d'un nouveau système de gestion des revenus (et de la capacité) et d'évolution vers une plus grande automatisation, des décisions commerciales en temps réel, connectées et basées sur des données, le poste d'analyste de données et d'affaires RCM est un (nouveau) rôle crucial au sein de l'équipe RCM.
Le RCM Business / Data Analyst sera responsable de la bonne configuration et du paramétrage du nouveau système RCM afin de développer des scénarios de tarification précis, basés sur la concurrence / les facteurs externes (prix, situation économique, événements...) et les KPIs internes (situation de la flotte, revenu par unité...).

Il aidera les pays à élaborer les bonnes stratégies de tarification et à améliorer la précision des prévisions.

En outre, il aidera les analystes et les responsables RCM à fournir des analyses fondées sur des données pour soutenir l'entreprise :
Co-construire des scénarios de tarification avec les membres de la communauté RCM
Transformer ces stratégies en règles pour alimenter le système
Évaluer les résultats de ces scénarios pour s'assurer qu'ils sont corrects.
Travailler sur l'amélioration de la précision des prévisions / aider à enrichir l'algorithme de prévision avec des sources de données externes (chiffres du marché des compagnies aériennes, données macroéconomiques, etc.)
Analyser et étudier différents types de données
Aider les utilisateurs/équipes RCM à découvrir et à maîtriser la plateforme RCM
Fournir une expertise en Data Science  (statistiques et modélisation) aux clients internes.

Profil recherché sur le poste :
 
Expérience antérieure souhaitée :
 3 à 5 ans d'expérience en Revenue Management au sein d'une entreprise du secteur du Tourisme
Avoir travaillé sur des projets axés sur les données pour des sujets liés à l'entreprise

Niveau d'études / certificats : 
Compétences en Data Sciences appréciées
Licence dans un domaine connexe (finance, économie, statistiques, revenue Management, hôtellerie Tourisme) requise

Langues de travail : Anglais (courant exigé), le français courant

Compétences informatiques et logiciels utilisés
Maîtrise des logiciels de bureautique (très bonne maîtrise d'excel, powerpoint)
Connaissances dans les langages SQL 
Outils de Data Sciences
Google Data Studio 
La connaissance de Qlik Sense sera un plus.
Caractéristiques personnelles

Fort esprit d'analyse 
Aime travailler avec des chiffres
Esprit d'entreprise / leadership
Bon communicateur
Souci du détail
Esprit d'équipe
Solides compétences en matière de planification et d'organisation
Prise de décision rapide",35H Travail en journée,42000.0 - 45000.0,Contrat à durée indéterminée,4 ans,,"Analyser les résultats des ventes,Mettre en place des solutions d'amélioration de la performance,Techniques de communication orales, écrites et numériques",Cadre,Gestion de fonds,EUROPCAR INTERNATIONAL SA,0 salarié (n'ayant pas d'effectif au 31/12 mais ayant employé des salariés au cours de l'année de référence),"EMG est un acteur majeur du secteur de la mobilité et propose une large gamme de services de location de voitures et d'utilitaires  avec une flotte et qui sera de plus en plus "" verte "" dans les années à venir.La satisfaction des clients alimente également le développement continu de nouvelles offres de services.Les 4 grandes marques du Groupe sont : Europcar, Goldcar, InterRent et Ubeeqo. EMG fournit ses solutions de mobilité dans le monde entier grâce à un réseau étendu dans plus de 140 pays.",google data studio,75,PARIS 17,2023/08/08
